target,images,lat,lon,admin1,admin2
Paterson_WA,298,46.009901,-119.638,Paterson,WA
Gothenburg_NE,294,40.977572,-100.179454,Gothenburg,NE
Castle_Cliffs_NZ,262,-41.579257,174.127469,Castle Cliffs,NZ
Blaine_MT,218,48.43279914,-108.9586473,Blaine,MT
Newberg_OR,192,45.349558,-123.009384,Newberg,OR
Knobview_MO,172,38.040471,-91.490501,Knobview,MO
Albany_GA,154,31.640734,-84.315048,Albany,GA
Clark_SD,110,44.858178,-97.729555,Clark,SD
Angaston_Australia,96,-34.480958,138.9905,Angaston,Australia
Wilyabrup_Australia,96,-33.787078,115.033422,Wilyabrup,Australia
Tabuk_Saudi Arabia,94,30.070187,38.307049,Tabuk,Saudi Arabia
Battleford_Canada,92,52.632217,-108.6169,Battleford,Canada
McHenry_ND,84,48.234577,-100.636319,McHenry,ND
PampasRancho_Mexico_UNKNOWNLOCATION,80,,,PampasRancho Mexico,UNKNOWNLOCATION
Concordia_LA,79,31.445774,-91.639764,Concordia,LA
Hardin_KY,78,37.697884,-85.963441,Hardin,KY
Logan_OH,78,40.388473,-83.765777,Logan,OH
Mepiche_Mozambique,76,-13.315898,38.665981,Mepiche,Mozambique
Kamsack_Saskatchewan,68,51.490974,-101.947149,Kamsack,Saskatchewan
Barnes_ND,62,46.936128,-98.071586,Barnes,ND
Lethbridge_Canada,52,49.531498,-113.131812,Lethbridge,Canada
Carroll_MO,49,39.426812,-93.505061,Carroll,MO
Merrick_NE,39,41.2544,-98.2213,Merrick,NE
Nagaoka_Japan,39,37.5287,138.8252,Nagaoka,Japan
Yellow_Medicine_MN,38,44.7162,-95.868367,Yellow Medicine,MN
San_Luis_Obispo_CA,37,35.291967,-120.66284,San Luis Obispo,CA
Tehama_CA,26,40.026097,-122.123338,Tehama,CA
Suwannee_County_FL,24,30.176728,-83.197977,Suwannee County,FL
Runnels_County_TX,18,31.83109683,-99.97618039,Runnels County,TX
Burdette_Alberta,15,49.723051,-111.506373,Burdette,Alberta
Robinvale_Australia,14,-34.588257,142.777304,Robinvale,Australia
NZ_Wine_UNKNOWNLOCATION,10,,,NZ Wine,UNKNOWNLOCATION
Myrtleford_Australia,8,-36.557401,146.724114,Myrtleford,Australia
Peru_Swathe_UNKNOWNLOCATION,7,,,Peru Swathe,UNKNOWNLOCATION
Yakima_WA,7,46.282615,-119.83534,Yakima,WA
Mendota_CA,6,36.845836,-120.220975,Mendota,CA
Wheat_MT_UNKNOWNLOCATION,6,,,Wheat MT,UNKNOWNLOCATION
Yuma_CO,5,40.3056,-102.5382,Yuma,CO
Hector_ AR,4,35.831529,-89.976437,Hector, AR
Mildura_Australia,4,-34.298784,142.124781,Mildura,Australia
Tarneit_Australia,4,-37.81021,144.667375,Tarneit,Australia
Yakima_WA,4,46.282615,-119.83534,Yakima,WA
Runnels_TX,4,31.83109683,-99.97618039,Runnels,TX
Tehama_CA,3,39.954167,-122.265694,Tehama,CA
Kamsack_Canada,3,49.531498,-113.131812,Kamsack,Canada
Moorabool_Australia,3,-37.620387,144.221511,Moorabool,Australia
Vineyards_San Luis Obispo,3,35.231205,-120.606299,Vineyards,San Luis Obispo
Corn_NE_UNKNOWNLOCATION,2,,,Corn NE,UNKNOWNLOCATION
Corn_Saudi_Arabia_UNKNOWNLOCATION,2,,,Corn Saudi Arabia,UNKNOWNLOCATION
Dimbulah_Australia,2,-17.166811,145.084536,Dimbulah,Australia
Lindsay_Pt_Australia,134,-34.073954,140.997769,Lindsay Pt,Australia
Corn_CO_UNKNOWNLOCATION,1,,,Corn CO,UNKNOWNLOCATION
Mareeba_Australia,1,-17.02758,145.410367,Mareeba,Australia
Parramatta_Australia,1,-33.815665,151.00187,Parramatta,Australia
Vineyards_CA_UNKNOWNLOCATION,1,,,Vineyards CA,UNKNOWNLOCATION
