target,images,lat,lon,admin1,admin2
Suva_Fiji,291,-18.133333,178.442277,Suva,Fiji
Budapest_Hungary,288,47.494364,19.0652,Budapest,Hungary
Reykjavik_Iceland,288,64.128706,-21.892216,Reykjavik,Iceland
Rome_Italy,283,41.891306,12.488866,Rome,Italy
Yekaterinburg_Russia,245,56.838476,60.605584,Yekaterinburg,Russia
Chicago_IL,242,41.876336,-87.626824,Chicago,IL
Omsk_Russia,240,54.983144,73.366573,Omsk,Russia
Istanbul_Turkey,237,41.008437,28.975669,Istanbul,Turkey
Moscow_Russia,235,55.755716,37.617263,Moscow,Russia
Belem_Brazil,223,-1.446902,-48.477614,Belem,Brazil
Kiev_Ukraine,219,50.452645,30.505766,Kiev,Ukraine
Warsaw_Poland,216,52.22978,21.011709,Warsaw,Poland
Havana_Cuba,210,23.173581,-82.329336,Havana,Cuba
Addis_Ababa_Ethiopia,203,9.029997126,38.70000059,Addis Ababa,Ethiopia
Sydney_Australia,270,-33.795698,151.209693,Sydney,Australia
Fortaleza_Brazil,198,-3.743738,-38.529958,Fortaleza,Brazil
Kabul_Afghanistan,196,34.551569,69.174027,Kabul,Afghanistan
Recife_Brazil,196,-8.053334,-34.889862,Recife,Brazil
Toronto_Canada,194,43.652791,-79.379191,Toronto,Canada
Manaus_Brazil,191,-3.126941,-60.006876,Manaus,Brazil
Vienna_Austria,190,48.205968,16.373133,Vienna,Austria
Casablanca_Morocco,189,33.581796,-7.589159,Casablanca,Morocco
Dublin_Ireland,188,53.3453892,-6.25742197,Dublin,Ireland
Kinshasa_DRC,188,-4.326348,15.312588,Kinshasa,DRC
Johannesburg_South Africa,183,-26.20556,28.046963,Johannesburg,South Africa
Bangui_Central African Republic,180,4.389135,18.550274,Bangui,Central African Republic
Harare_Zimbabwe,180,-17.846385,31.033449,Harare,Zimbabwe
Chongqing_China,179,29.798597,106.664989,Chongqing,China
Bogota_Colombia,174,4.717173,-74.059455,Bogota,Colombia
Milwaukee_WI,172,43.029252,-87.918156,Milwaukee,WI
Zurich_Switzerland,165,47.381474,8.525242,Zurich,Switzerland
Berlin_Germany,163,52.520007,13.404954,Berlin,Germany
Dhaka_Bangladesh,163,23.805383,90.398595,Dhaka,Bangladesh
Karachi_Pakistan,167,24.845342,66.989209,Karachi,Pakistan
Lahore_Pakistan,161,31.554138,74.358386,Lahore,Pakistan
Khartoum_Sudan,158,15.579367,32.543482,Khartoum,Sudan
Mexico_City_Mexico,155,19.518793,-99.082671,Mexico City,Mexico
Hyderabad_India,152,17.380434,78.471484,Hyderabad,India
Surabaya_Indonesia,150,-7.191716,112.738059,Surabaya,Indonesia
Stockholm_Sweden,148,59.300921,18.084156,Stockholm,Sweden
Cape_Town_Africa,146,-33.923145,18.427009,Cape Town,Africa
Kathmandu_Nepal,142,27.755476,85.352996,Kathmandu,Nepal
Long_Beach_CA,139,33.761376,-118.191332,Long Beach,CA
Mumbai_India,137,19.105774,72.862753,Mumbai,India
Kashgar_China,130,39.57058,76.010247,Kashgar,China
London_UK,129,51.506742,-0.123627,London,UK
Juba_Sudan,123,4.858974,31.574176,Juba,Sudan
San_Francisco_CA,119,37.829548,-122.282406,San Francisco,CA
Tehran_Iran,117,35.707028,51.425803,Tehran,Iran
Frankfurt_Germany,115,50.112392,8.683487,Frankfurt,Germany
Paris_France,113,48.859448,2.339447,Paris,France
Perth_Australia,157,-31.921994,115.903457,Perth,Australia
Kuala_Lumpur_Malaysia,108,3.156221,101.708418,Kuala Lumpur,Malaysia
Adelaide_Airport_Australia,103,-34.946409,138.533013,Adelaide Airport,Australia
Phoenix_AZ,103,33.248439,-111.734514,Phoenix,AZ
Kolkata_India,102,22.581197,88.364564,Kolkata,India
Buenos_Aires_Argentina,100,-34.561466,-58.378503,Buenos Aires,Argentina
New_Delhi_India,100,28.619287,77.234237,New Delhi,India
Fort_McMurray_Canada,99,56.75501,-111.498044,Fort McMurray,Canada
Las_Vegas_NV,98,36.251698,-115.044709,Las Vegas,NV
Lisbon_Portugal,98,38.721842,-9.139449,Lisbon,Portugal
Lima_Peru,95,-12.048671,-77.04068,Lima,Peru
