target,images,lat,lon,admin1,admin2
Richards_Bay_South Africa,298,-28.80403,32.043192,Richards Bay,South Africa
Murmansk_Russia,296,68.979391,33.057956,Murmansk,Russia
Dalrymple_Australia,283,-21.28152,149.286979,Dalrymple,Australia
Sydney_Canada,281,46.159843,-60.200988,Sydney,Canada
RidleyIsland_BC,250,54.227414,-130.323887,RidleyIsland,BC
Newcastle_Australia,239,-32.895773,151.750897,Newcastle,Australia
Saldanha_Bay_South Africa,232,-33.004484,17.999653,Saldanha Bay,South Africa
Maputo_Mozambique,222,-25.951745,32.528648,Maputo,Mozambique
Gladstone_Australia,211,-23.842417,151.227421,Gladstone,Australia
Port_Hedland_Australia,201,-20.292107,118.602456,Port Hedland,Australia
Beeshoek_South_Africa,197,-28.325214,22.987371,Beeshoek South,Africa
Beira_Mozambique,187,-19.815868,34.8533,Beira,Mozambique
North_Antelope_WY,185,43.629675,-105.224965,North Antelope,WY
Puerto_Bolivar_Colombia,179,12.241776,-71.971124,Puerto Bolivar,Colombia
Nacala_Mozambique,177,-14.535716,40.647274,Nacala,Mozambique
Ranger_Mine_Australia,171,-12.678737,132.908203,Ranger Mine,Australia
Morupule_Botswana,170,-22.518999,27.035455,Morupule,Botswana
Oyu_Tolgoi_Mongolia,175,43.012371,106.869292,Oyu Tolgoi,Mongolia
Paranam_Suriname,155,5.598899,-55.10785,Paranam,Suriname
Vancouver_BC,155,49.027188,-123.141264,Vancouver,BC
Abbot_Point_Australia,153,-19.887745,148.076998,Abbot Point,Australia
Xiamen_China,153,24.51336,118.097693,Xiamen,China
Brisbane_Australia,152,-27.370444,153.185689,Brisbane,Australia
Cape_Lambert_Australia,149,-20.563491,117.207836,Cape Lambert,Australia
Moatize_Mozambique,144,-16.170106,33.772278,Moatize,Mozambique
Lobito_Angola,143,-12.339812,13.573958,Lobito,Angola
Shenzen_China,137,22.566523,113.877843,Shenzen,China
Nchanga_Zambia,136,-12.513365,27.857638,Nchanga,Zambia
Haerwusu_China,133,39.904341,111.226947,Haerwusu,China
Buenavista_Mexico,119,29.950367,-109.276557,Buenavista,Mexico
Qinhuangdao_China,106,39.950385,119.711283,Qinhuangdao,China
Kumptor_Kyrgystan,104,41.859319,78.197324,Kumptor,Kyrgystan
Rossing_Namibia,92,-22.481063,15.054992,Rossing,Namibia
Norfolk_VA,86,36.970311,-76.318552,Norfolk,VA
Falcondo_Dominican Republic,82,18.904507,-70.322353,Falcondo,Dominican Republic
Mt_Polley_Mine_Canada,76,52.511276,-121.598302,Mt Polley Mine,Canada
Neptune_BC,61,49.306261,-123.051598,Neptune,BC
Cerrejon_Colombia,60,11.161821,-72.519619,Cerrejon,Colombia
United_Coal_Terminal,56,29.622564,-89.890108,United Coal,Terminal
Murrin_Murrin_stereo_UNKNOWNLOCATION,12,,,Murrin Murrin stereo,UNKNOWNLOCATION
Qingdao_Port_China,12,36.106145,120.319442,Qingdao Port,China
DeltaPort_Coal_Terminal_Vancouver_BC,9,49.017925,-123.163914,DeltaPort Coal Terminal Vancouver,BC
McDuffie_Island_AL,6,30.656125,-88.03755,McDuffie Island,AL
Scherer_GA,5,33.058435,-83.808823,Scherer,GA
Ahvaz_Iran,1,31.318,48.7178,Ahvaz,Iran
