target,images,lat,lon,admin1,admin2
Mogadishu_Somalia,195,2.04815,45.332396,Mogadishu,Somalia
Fiery_Cross_South China Sea,194,9.700843,113.07458,Fiery Cross,South China Sea
Punggye_Ri_North Korea,152,41.277222,129.088186,Punggye Ri,North Korea
Yongbyon_North Korea,113,39.768724,125.750202,Yongbyon,North Korea
Tartous_Syria,54,34.953627,35.907335,Tartous,Syria
Natanz_Iran,23,33.724,51.7288,Natanz,Iran
Fordo_Iran,20,34.884,50.995,Fordo,Iran
Wonson_Port_North Korea,19,39.161157,127.472549,Wonson Port,North Korea
Fallujah_Iraq,15,33.3487,43.7841,Fallujah,Iraq
Jonchon_North Korea,15,40.631139,126.431897,Jonchon,North Korea
Iranian_site_UNKNOWNLOCATION,4,,,Iranian site,UNKNOWNLOCATION
Nampo_North Korea,4,38.73465,125.400446,Nampo,North Korea
Punggye-Ri_North Korea,4,41.132866,129.165836,Punggye-Ri,North Korea
Sohae_North Korea,4,39.659559,124.705899,Sohae,North Korea
DI_08-3_North Korea,2,41.2802,129.0853,DI 08-3,North Korea
Iwo_jima_Japan,2,24.7802,141.3164,Iwo jima,Japan
Qingdao_Naval_Base_China,2,36.066,120.318,Qingdao Naval Base,China
Senkaku_Islands_,2,25.804282,123.594333,Senkaku Islands,
Western_AOI_International_Water_Land_UNKNOWNLOCATION,2,,,Western AOI International Water Land,UNKNOWNLOCATION
Dinghai_Naval_Base_China,1,30.015,122.085,Dinghai Naval Base,China
Eastern_AOI_,1,32.366111,35.610833,Eastern AOI,
Night_South_China_Sea_UNKNOWNLOCATION,1,,,Night South China Sea,UNKNOWNLOCATION
Ops_Western_AOI_International_Water_Land_UNKNOWNLOCATION,1,,,Ops Western AOI International Water Land,UNKNOWNLOCATION
Sinpo_Shipyard_North Korea,1,40.022774,128.16134,Sinpo Shipyard,North Korea
Sinpo_submarine_base_North Korea,1,40.000336,128.21319,Sinpo submarine base,North Korea
Zhanjiang_Naval_Base_China,1,21.224,110.43,Zhanjiang Naval Base,China
