target,images,lat,lon,admin1,admin2
Cushing_OK,708,36.030123,-96.753332,Cushing,OK
Skikda_Algeria,567,36.862756,6.965184,Skikda,Algeria
Freeport_Bahamas,538,26.516158,-78.759194,Freeport,Bahamas
Ras_Lanuf_Libya,514,30.472767,18.57378,Ras Lanuf,Libya
St_Eustatius_Caribbean_Netherlands,511,17.496017,-62.997333,St Eustatius Caribbean,Netherlands
Singapore,480,1.260756,103.885993,Singapore,Singapore
Turpan_China,465,43.08362,90.409898,Turpan,China
Yonbu_Saudi_Arabia,459,23.973352,38.252084,Yonbu Saudi,Arabia
Lanzhou_China,458,36.115104,103.63524,Lanzhou,China
Manangareza_Madagascar,451,-18.168374,49.393544,Manangareza,Madagascar
Karamay_China,441,45.5734,84.995579,Karamay,China
Marisa_Libya,439,32.041997,23.977474,Marisa,Libya
Zawiya_Libya,426,32.782238,12.698416,Zawiya,Libya
Castries_St_Lucia,423,13.983473,-61.020872,Castries St,Lucia
Daqing_China,402,46.323368,124.741102,Daqing,China
Mombassa_Kenya,397,-4.042567,39.642844,Mombassa,Kenya
Dalian_China,388,38.980128,121.868549,Dalian,China
Qingdao_China,380,36.057824,120.219739,Qingdao,China
Sarakhs_Iran,379,36.469826,60.845928,Sarakhs,Iran
Uruma_Japan,372,26.349379,127.961186,Uruma,Japan
Malongo_Angola,371,-5.400736,12.212082,Malongo,Angola
Dubai_UAE,368,24.967792,55.049313,Dubai,UAE
Mina_al_Fahl_Oman,362,23.622374,58.514455,Mina al Fahl,Oman
Sidi_Kerir_Egypt,355,31.054632,29.66952,Sidi Kerir,Egypt
Dushanzi_China,348,44.350424,84.813302,Dushanzi,China
Tema_Ghana,348,5.736797,0.007016,Tema,Ghana
Esmeraldas_Ecuador,348,0.938954,-79.691186,Esmeraldas,Ecuador
Puerto_la_Cruz_Venezuela,346,10.221331,-64.619902,Puerto la Cruz,Venezuela
Sangachal_Azerbaijan,331,40.184661,49.480031,Sangachal,Azerbaijan
St_Croix_Virgin_Islands,331,17.704258,-64.753207,St Croix Virgin,Islands
Sarir_Libya,315,27.655049,22.494969,Sarir,Libya
Supsa_Georgia,314,42.011201,41.763794,Supsa,Georgia
Zhanjiang_China,308,21.154153,110.401163,Zhanjiang,China
Novorossiysk Russia,307,44.748036,37.902985,Novorossiysk,Russia
Mellitah_Libya,303,32.853706,12.238211,Mellitah,Libya
Houston_TX,302,29.791867,-95.084028,Houston,TX
Rabigh_Saudi_Arabia,300,22.717271,39.017128,Rabigh Saudi,Arabia
Constanta_Port_Romania,292,44.129383,28.646271,Constanta Port,Romania
Khark_Island_Iran,286,29.229537,50.314967,Khark Island,Iran
Luanda_Angola,281,-8.750827,13.321708,Luanda,Angola
Brownsville_TX,276,25.957934,-97.383014,Brownsville,TX
Cartagena_Colombia,275,10.44025,-75.542856,Cartagena,Colombia
Victoria_Seychelles,272,-4.629577,55.463856,Victoria,Seychelles
Ras_Tanura_Saudi_Arabia,271,26.658965,50.148072,Ras Tanura Saudi,Arabia
Agat_Guam,270,13.417492,144.683003,Agat,Guam
Zhousan_China,263,29.971475,122.156332,Zhousan,China
Abqaiq_Saudi_Arabia,260,25.931914,49.680098,Abqaiq Saudi,Arabia
Wakayama_Japan,257,34.171652,135.190719,Wakayama,Japan
Rafsanjan_Iran,255,30.3716,55.854658,Rafsanjan,Iran
Jubail_Saudi_Arabia,237,27.057426,49.60502,Jubail Saudi,Arabia
Mangalore_India,234,12.915228,74.812474,Mangalore,India
Tianjin_China,229,39.06263,117.763064,Tianjin,China
Covenas_Colombia,229,9.405002,-75.694401,Covenas,Colombia
DeKastri_Russia,228,51.48201,140.870652,DeKastri,Russia
Jamnagar_India,228,22.451091,69.847509,Jamnagar,India
Caleta_Olivia_Argentina,228,-46.4303,-67.523132,Caleta Olivia,Argentina
Abidjan_Ivory_Coast,224,5.282115,-3.994381,Abidjan Ivory,Coast
Gamba_Gabon,224,-2.782221,10.028041,Gamba,Gabon
Kribi_Cameroon,223,2.9,9.8,Kribi,Cameroon
Caleta_Cordova_Argentina,222,-45.756103,-67.388175,Caleta Cordova,Argentina
Trieste_Italy,222,45.607614,13.814974,Trieste,Italy
Puerto_Jose_Venezuela,221,10.078574,-64.86525,Puerto Jose,Venezuela
Pengzhou_China,220,31.077833,103.904656,Pengzhou,China
Kozmino_Bay_Russia,217,42.732158,133.045744,Kozmino Bay,Russia
Dar_es_Salaam_Tanzania,214,-6.844017,39.297458,Dar es Salaam,Tanzania
Kagoshima_Japan,210,31.388,130.548812,Kagoshima,Japan
Tegaldowo_Java_Indonesia,204,-6.872116,109.644607,Tegaldowo Java,Indonesia
