target,images,lat,lon,admin1,admin2
Manila_Philippines,272,14.654653,120.951056,Manila,Philippines
Valdez_AK,289,61.107111,-146.36732,Valdez,AK
Auckland_New_Zealand,266,-36.858266,174.764205,Auckland New,Zealand
Jakarta_Indonesia,242,-6.311999,107.099597,Jakarta,Indonesia
Colon_Panama,226,9.427013,-79.90224,Colon,Panama
Durban_Africa,234,-29.857526,31.025764,Durban,Africa
Guayaquil_Ecuador,223,-2.252866,-79.904836,Guayaquil,Ecuador
Manzanillo_Mexico,223,19.055627,-104.296645,Manzanillo,Mexico
Las_Palmas_Spain,221,28.133578,-15.426099,Las Palmas,Spain
Boston_MA,218,42.340836,-71.018347,Boston,MA
Da_Nang_Vietnam,199,16.126391,108.219734,Da Nang,Vietnam
Laem_Chabang_Thailand,199,13.163866,100.897194,Laem Chabang,Thailand
Freetown_Sierra_Leone,196,8.471203,-13.211737,Freetown Sierra,Leone
Keelung_Taiwan,190,25.146134,121.760194,Keelung,Taiwan
Port_au_Prince_Haiti,190,18.54208,-72.352737,Port au Prince,Haiti
Georgetown_Guyana,187,6.802494,-58.158186,Georgetown,Guyana
Busan_Korea,185,35.167736,129.044624,Busan,Korea
Monrovia_Liberia,179,6.327281,-10.787974,Monrovia,Liberia
Valencia_Spain,179,39.447611,-0.329948,Valencia,Spain
Visakhapatnam_India,177,17.703008,83.266924,Visakhapatnam,India
Athens_Greece,173,37.95051,23.610848,Athens,Greece
Tanger_Med_Morocco,173,35.877589,-5.510602,Tanger Med,Morocco
Chittagong_Bangladesh,171,22.35158,91.823677,Chittagong,Bangladesh
Ho_Chi_Minh_City_Vietnam,171,10.785896,106.805308,Ho Chi Minh City,Vietnam
Namibe_Angola,170,-15.107198,12.173817,Namibe,Angola
Port_Harcourt_Nigeria,170,4.767153,6.998418,Port Harcourt,Nigeria
Lagos_Nigeria,174,6.548543,3.37765,Lagos,Nigeria
Tyne_UK,166,54.986415,-1.461044,Tyne,UK
Yangon_Myanmar,164,16.787819,96.150007,Yangon,Myanmar
Dakar_Senegal,162,14.693519,-17.434107,Dakar,Senegal
Buenaventura_Colombia,161,3.884096,-77.051697,Buenaventura,Colombia
Callao_Peru,158,-11.905672,-77.128654,Callao,Peru
Tacoma_WA,166,47.254678,-122.405628,Tacoma,WA
Copenhagen_Denmark,157,55.692002,12.603036,Copenhagen,Denmark
Kaohsiung_Taiwan,157,22.57141,120.3152,Kaohsiung,Taiwan
Veracruz_Mexico,157,19.219045,-96.150068,Veracruz,Mexico
Salalah_Oman,152,16.942405,54.006114,Salalah,Oman
Lazaro_Cardenas_Mexico,152,17.943288,-102.181665,Lazaro Cardenas,Mexico
Port_Said_Egypt,149,31.291062,32.288044,Port Said,Egypt
Seattle_WA,143,47.589692,-122.332902,Seattle,WA
Kandla_Port_India,141,23.008449,70.20442,Kandla Port,India
Dutch_Harbor_Alaska,136,53.87538,-166.54,Dutch Harbor,Alaska
Port_Klang_Malaysia,137,3.048697,101.396063,Port Klang,Malaysia
Gwadar_Pakistan,132,25.134393,62.336737,Gwadar,Pakistan
Pointe_Noire_Congo,128,-4.763122,11.851526,Pointe Noire,Congo
Porto_Marghera_Venice_Italy,128,45.472493,12.24675,Porto Marghera Venice,Italy
Acajutla_El_Salvador,126,13.581268,-89.820606,Acajutla El,Salvador
Gorgon_LNG_Australia,125,-20.715215,115.491562,Gorgon LNG,Australia
La_Union_El_Salvador,123,13.327355,-87.841223,La Union El,Salvador
Brunswick_GA,124,31.186842,-81.52658,Brunswick,GA
Lampedusa_Italy,120,35.507342,12.599516,Lampedusa,Italy
Duqm_Oman,113,19.659441,57.69746,Duqm,Oman
Tanjung_Pelepas_Malaysia,110,1.346662,103.547074,Tanjung Pelepas,Malaysia
New_York_NY,109,40.627312,-74.18668,New York,NY
Guangzhou_China,108,23.013885,113.54101,Guangzhou,China
Marseille_France,106,43.329279,5.35847,Marseille,France
Chimbote_Peru,92,-9.043421,-78.58512,Chimbote,Peru
Alexandria_Egypt,85,31.20924,29.913304,Alexandria,Egypt
Honolulu_HI,85,21.313283,-157.880381,Honolulu,HI
Nagoya_Japan,84,35.110514,136.898269,Nagoya,Japan
Binhai_China,82,39.004441,117.727578,Binhai,China
Strait_of_Hormuz,80,26.740227,56.56042,Strait of,Hormuz
Geoje_Island_Korea,78,34.871884,128.631643,Geoje Island,Korea
Algeciras_Spain,75,36.145454,-5.326781,Algeciras,Spain
Bremerhaven_Germany,71,53.578868,8.549197,Bremerhaven,Germany
Ensenada_Mexico,70,31.862573,-116.607021,Ensenada,Mexico
Montreal_Canada,64,45.484349,-73.568058,Montreal,Canada
Helsinki_Finland,62,60.16821,24.93913,Helsinki,Finland
Shanghai_China,62,31.358233,121.646626,Shanghai,China
Gioia_Tauro_Italy,61,38.458311,15.908422,Gioia Tauro,Italy
Sydney_Australia,60,-33.795698,151.209693,Sydney,Australia
Nampo_Korea,59,38.749647,125.327961,Nampo,Korea
Melbourne_Australia,56,-37.843179,144.924132,Melbourne,Australia
Istanbul_Turkey,55,41.008437,28.975669,Istanbul,Turkey
