target,images,lat,lon,admin1,admin2
Rukoli_Rwanda,200,-2.084585,30.311285,Rukoli,Rwanda
Kauriya_Bihar_India,168,26.152644,84.693303,Kauriya Bihar,India
Jarvis_Island_US,167,-0.373322,-159.997113,Jarvis Island,US
Webuye_Kenya,160,0.59881,34.779407,Webuye,Kenya
Bentiu_South Sudan,158,9.230058,29.800709,Bentiu,South Sudan
Yamalsky_District_Russia,152,68.368583,69.971833,Yamalsky District,Russia
Granadilla_Tenerife,151,28.118925,-16.576738,Granadilla,Tenerife
South_Ucayali_Peru,151,-10.569936,-72.88197,South Ucayali,Peru
East_Kotawiaringin_Borneo_Indonesia,147,-2.357677,112.835523,East Kotawiaringin Borneo,Indonesia
Kraul_Mountains_Antarctica,143,-73.345012,-13.910743,Kraul Mountains,Antarctica
West_Papua_Indonesia,139,-1.920246,133.05528,West Papua,Indonesia
Lizard_Island,138,-14.6709,145.4644,Lizard,Island
Ache_Sumatra_Indonesia,131,4.570869,96.64455,Ache Sumatra,Indonesia
Busesa_Uganda,124,0.476752,33.574886,Busesa,Uganda
Rudewa_Tanzania,123,-6.66,37.165,Rudewa,Tanzania
Florida_Bolivia,122,-12.045889,-68.581719,Florida,Bolivia
East_Rennell_Solomon Islands,119,-11.733854,160.410708,East Rennell,Solomon Islands
Purma_Fagui_Peru,119,-2.63237,-72.169689,Purma Fagui,Peru
Rupununi_Guyana,116,3.76404,-59.085957,Rupununi,Guyana
Dimbwe_Zambia,114,-17.2483,26.9103,Dimbwe,Zambia
Zaatari_Jordan,114,32.295266,36.323606,Zaatari,Jordan
Koch_South Sudan,112,8.594294,29.993172,Koch,South Sudan
Kalaoa_Hawaii,101,19.75508862,-156.061328,Kalaoa,Hawaii
Pearl_and_Hermes_Atoll_Hawaii,98,27.9779739,-175.7395893,Pearl and Hermes Atoll,Hawaii
Amahai_Indonesia,93,-3.335086,128.931875,Amahai,Indonesia
Madre_de_Dios_Peru,91,-12.984924,-70.018122,Madre de Dios,Peru
Burera_Rwanda,90,-1.374817,29.812374,Burera,Rwanda
Karare_Kenya,88,2.153487,37.858872,Karare,Kenya
New_Delhi,87,28.619287,77.234237,New,Delhi
Haruku_Indonesia,86,-3.502574,128.434354,Haruku,Indonesia
Isseneru_Guyana,84,6.467282,-60.332639,Isseneru,Guyana
Taoudenni_Mali,82,22.675202,-3.980358,Taoudenni,Mali
Nigerian_Refugee_Camp_Maiduguri,81,11.790059,13.11488,Nigerian Refugee Camp,Maiduguri
Mayendit_South Sudan,77,8.134999833,29.995,Mayendit,South Sudan
Micronesia_Micronesia,77,7.031,158.22,Micronesia,Micronesia
Puthukkudiyiruppu_Sri Lanka,77,9.336527,80.689414,Puthukkudiyiruppu,Sri Lanka
Morocco_Daa,74,33.378365,-5.231947,Morocco,Daa
Bardere_Somalia,71,2.337994,42.280612,Bardere,Somalia
Marudi_Guyana,71,2.285347,-59.045066,Marudi,Guyana
Wau_South Sudan,71,7.7015,27.9884,Wau,South Sudan
Nigeria_Monguno,69,12.69012,13.616804,Nigeria,Monguno
Qayyarah_Iraq,69,35.847211,43.297688,Qayyarah,Iraq
Kauro_Kenya,67,1.048679,37.699854,Kauro,Kenya
Baker Island_U.S.,66,0.21687987,-176.4887584,Baker Island,U.S.
El_Nino_Brazil,66,-2.6082,-60.1999,El Nino,Brazil
Algheden_Eritrea,65,15.466011,37.100145,Algheden,Eritrea
Bama_Nigeria,65,11.55015,13.683749,Bama,Nigeria
Keshero_Democratic Republic of Congo,65,-1.622312,29.156266,Keshero,Democratic Republic of Congo
Leer_South Sudan,63,8.29677,30.14734,Leer,South Sudan
Kanton_Island_Kiribati,60,-2.72879748,-171.7673777,Kanton Island,Kiribati
Howland_Island_U.S.,59,0.83240859,-176.6257844,Howland Island,U.S.
Az_Zabdani_Madaya,58,33.703963,36.10742694,Az Zabdani,Madaya
Nikumaroro_Island_Kiribati,56,-4.640062,-174.5807186,Nikumaroro Island,Kiribati
Dikwa_Nigeria,55,12.078056,13.91933383,Dikwa,Nigeria
Jambi_Indonesia,53,-1.635916,103.60565,Jambi,Indonesia
Minami_Hiyoshi_Japan,53,23.5,141.935,Minami Hiyoshi,Japan
Grand_Teton_WY,52,43.7904282,-110.6817627,Grand Teton,WY
Isiolo_Kenya,52,0.352908,37.584581,Isiolo,Kenya
Nigeria_Damasak,52,13.105,12.50666,Nigeria,Damasak
Didymoi_Egypt,50,25.754439,33.394863,Didymoi,Egypt
Rukban_Syria,50,33.298583,38.657,Rukban,Syria
Marib_Yemen,50,15.467058,45.322926,Marib,Yemen
Kisarawe_Tanzania,49,-7.203952,38.664036,Kisarawe,Tanzania
Manaq_Syria,49,36.52441683,37.04942783,Manaq,Syria
Al_Wadi_Saudi Arabia,49,25.632679,39.2396,Al Wadi,Saudi Arabia
